complete_address,address,label
"62, Guha Zila, Opposite Mall, Pune, Maharashtra - 515733","62, Guha Zila, Opposite Mall, Pune, Maharashtra - 515733",0
"41/935 Sha Path, Opposite Mall, Ahmedabad, Gujarat - 783648","41/935 Opposite Mall, Ahmedabad, 783648",1
"26/36 Soman Marg, Behind School, Hyderabad, Telangana - 999606","26/36 Soman Marg, Behind School, Hyderabad, Telangana - 999606",0
"525, Khalsa Nagar, Behind School, Varanasi, Uttar Pradesh - 512489","525, Khalsa Nagar, Behind School, Varanasi, Uttar Pradesh - 512489",0
"H.No. 51 Srinivas Path, Behind School, Hyderabad, Telangana - 010509","H.No. 51 Srinivas Path, Behind School, Hyderabad, Telangana - 010509",0
"H.No. 20, Basak Ganj, Near Park, Coimbatore, Tamil Nadu - 757617","H.No. 20, Basak Ganj, Near Park, Coimbatore, Tamil Nadu - 757617",0
"H.No. 61, Ghosh, Near Park, Jamshedpur, Jharkhand - 602321","H.No. 61, Ghosh, Near Park, Jamshedpur, Jharkhand - 602321",0
"96/271, Jain Path, Near Park, Varanasi, Uttar Pradesh - 759851","96/271, Jain Path, Near Park,",1
"42/07 Mann Chowk, Opposite Mall, Lucknow, Uttar Pradesh - 272395","Mann Mall, Lucknow, Pradesh -",1
"39, Badami Zila, Near Park, Chandigarh, Chandigarh - 039035","39, Badami Zila, Near Park, Chandigarh, Chandigarh - 039035",0
"956 Sachdeva Zila, Near Park, Guwahati, Assam - 073024","956 Sachdeva Zila, Near Park, Guwahati, Assam - 073024",0
"79/97, Doctor Road, Opposite Mall, Jamshedpur, Jharkhand - 331231","79/97, Doctor Road, Opposite Mall, Jamshedpur, Jharkhand - 331231",0
"H.No. 908, Devi Marg, Near Park, Thiruvananthapuram, Kerala - 162554","H.No. 908, Devi Marg, Near Park, Thiruvananthapuram, Kerala - 162554",0
"43 Bera Zila, Near Park, Guwahati, Assam - 008147","43 Bera Zila, Near Park, Guwahati, Assam - 008147",0
"09/693 Munshi, Behind School, Shimla, Himachal Pradesh - 121118","09/693 Munshi, Behind School, Shimla, Himachal Pradesh - 121118",0
"H.No. 952 Comar Nagar, Above Shop, Vizag, Andhra Pradesh - 600112","H.No. 952 Nagar, Above Vizag, -",1
"32/360, Radhakrishnan Marg, Behind School, Ahmedabad, Gujarat - 693975","32/360, Radhakrishnan Marg, Behind School, Ahmedabad, Gujarat - 693975",0
"95, Loyal Zila, Opposite Mall, Pune, Maharashtra - 006228","95, Zila, Opposite - 006228",1
"838 Muni, Above Shop, Ranchi, Jharkhand - 326916","838 Muni, Above Shop, Ranchi, Jharkhand - 326916",0
"H.No. 41, Cherian Road, Behind School, Chandigarh, Chandigarh - 616681","H.No. 41, Cherian Road, Behind School, Chandigarh, Chandigarh - 616681",0
"H.No. 88 Gour Chowk, Opposite Mall, Coimbatore, Tamil Nadu - 549906","H.No. 88 Gour Chowk, Opposite Mall, Coimbatore, Tamil Nadu - 549906",0
"29/21 Ram Street, Opposite Mall, Ludhiana, Punjab - 526118","29/21 Ram Street, Opposite Mall, Ludhiana, Punjab - 526118",0
"H.No. 938, D’Alia Street, Near Park, Hyderabad, Telangana - 898902","938, D’Alia Park, Hyderabad, -",1
"539, Master Ganj, Above Shop, Bhopal, Madhya Pradesh - 761606","539, Master Ganj, Above Shop, Bhopal, Madhya Pradesh - 761606",0
"26/159, Nigam Chowk, Opposite Mall, Nagpur, Maharashtra - 102735","26/159, Nigam Chowk, Opposite Mall, Nagpur, Maharashtra - 102735",0
"998, De Ganj, Near Park, Thiruvananthapuram, Kerala - 718108","998, Ganj, Near Kerala -",1
"13 Sunder Circle, Behind School, Thiruvananthapuram, Kerala - 442259","13 Sunder Circle, Behind School, Thiruvananthapuram, Kerala - 442259",0
"54/25 Iyengar Zila, Opposite Mall, Guwahati, Assam - 031505","54/25 Iyengar Zila, Opposite Mall, Guwahati, Assam - 031505",0
"576, Prashad Path, Near Park, Raipur, Chhattisgarh - 169709","576, Prashad Path, Near Park, Raipur, Chhattisgarh - 169709",0
"91/484, Prabhu Road, Near Park, Raipur, Chhattisgarh - 807185","91/484, Prabhu Road, Near Park, Raipur, Chhattisgarh - 807185",0
"509 Mittal, Opposite Mall, Vijayawada, Andhra Pradesh - 654349","509 Mittal, Opposite Mall, Vijayawada, Andhra Pradesh - 654349",0
"31/955 Bera Path, Opposite Mall, Surat, Gujarat - 821333","31/955 Bera Path, Opposite Mall, Surat, Gujarat - 821333",0
"H.No. 32 Saxena Ganj, Near Park, Vijayawada, Andhra Pradesh - 537881","H.No. 32 Saxena Ganj, Near Park, Vijayawada, Andhra Pradesh - 537881",0
"H.No. 504 Golla Nagar, Above Shop, Ranchi, Jharkhand - 019019","H.No. 504 Golla Nagar, Above Shop, Ranchi, Jharkhand - 019019",0
"939, Bala Zila, Behind School, Hyderabad, Telangana - 378428","939, Bala Zila, Behind School, Hyderabad, Telangana - 378428",0
"00/432, Khatri Nagar, Opposite Mall, Chennai, Tamil Nadu - 602076","00/432, Khatri Nagar, Opposite Mall, Chennai, Tamil Nadu - 602076",0
"H.No. 86, Sridhar Street, Behind School, Kolkata, West Bengal - 376116","H.No. 86, Sridhar Street, Behind School, Kolkata, West Bengal - 376116",0
"84/54 Kibe Marg, Behind School, Vizag, Andhra Pradesh - 285341","84/54 Kibe Marg, Behind School, Vizag, Andhra Pradesh - 285341",0
"46/37 Gill, Behind School, Coimbatore, Tamil Nadu - 746976","46/37 School, Coimbatore, - 746976",1
"50/177, Lad Zila, Behind School, Lucknow, Uttar Pradesh - 038944","50/177, Lad Zila, Behind School, Lucknow, Uttar Pradesh - 038944",0
"69, Gopal, Near Park, Vijayawada, Andhra Pradesh - 077226","69, Gopal, Near Park, Vijayawada, Andhra Pradesh - 077226",0
"46/30, Gera, Behind School, Bhubaneswar, Odisha - 649409","46/30, Gera, Behind School, Bhubaneswar, Odisha - 649409",0
"H.No. 847 Lad Nagar, Above Shop, Kochi, Kerala - 091916","H.No. 847 Lad Nagar, Above Shop, Kochi, Kerala - 091916",0
"18/464 Cheema Marg, Behind School, Delhi, Delhi - 871090","18/464 Cheema Marg, Behind School, Delhi, Delhi - 871090",0
"H.No. 570 Dugal Zila, Opposite Mall, Ahmedabad, Gujarat - 543661","570 Dugal Opposite Ahmedabad, 543661",1
"H.No. 064 Bansal Street, Opposite Mall, Meerut, Uttar Pradesh - 101401","H.No. 064 Bansal Street, Opposite Mall, Meerut, Uttar Pradesh - 101401",0
"08/25, Vasa Marg, Above Shop, Amritsar, Punjab - 316127","08/25, Vasa Marg, Above Shop, Amritsar, Punjab - 316127",0
"230, Shroff Ganj, Opposite Mall, Guwahati, Assam - 553265","230, Shroff Ganj, Opposite Mall, Guwahati, Assam - 553265",0
"81/56, Nigam Path, Above Shop, Coimbatore, Tamil Nadu - 768003","81/56, Nigam Path, Above Shop, Coimbatore, Tamil Nadu - 768003",0
"19/372, Agate Street, Behind School, Surat, Gujarat - 177687","19/372, Agate Street, Behind School, Surat, Gujarat - 177687",0
"H.No. 101, Naidu Street, Above Shop, Nashik, Maharashtra - 713449","H.No. 101, Street, Above 713449",1
"35 Sem Street, Near Park, Raipur, Chhattisgarh - 142000","35 Sem Street, Near Park, Raipur, Chhattisgarh - 142000",0
"91/32, Ben Marg, Above Shop, Kolkata, West Bengal - 787200","91/32, Ben Marg, Above Shop, Kolkata, West Bengal - 787200",0
"H.No. 271 Borah Chowk, Near Park, Hyderabad, Telangana - 945984","271 Borah Chowk, Hyderabad, -",1
"79/061, Pant, Near Park, Bangalore, Karnataka - 936619","79/061, Pant, Near Park, Bangalore, Karnataka - 936619",0
"H.No. 80, Ranganathan Path, Above Shop, Shimla, Himachal Pradesh - 587387","H.No. 80, Ranganathan Path, Above Shop, Shimla, Himachal Pradesh - 587387",0
"H.No. 61 Kulkarni Ganj, Opposite Mall, Nagpur, Maharashtra - 940570","H.No. 61 Kulkarni Ganj, Opposite Mall, Nagpur, Maharashtra - 940570",0
"71/32 Aggarwal Circle, Above Shop, Nagpur, Maharashtra - 184558","71/32 Aggarwal Circle, Above Shop, Nagpur, Maharashtra - 184558",0
"48/27 Purohit Path, Behind School, Mumbai, Maharashtra - 491908","48/27 Purohit Path, Behind School, Mumbai, Maharashtra - 491908",0
"93/43, Mall Circle, Above Shop, Varanasi, Uttar Pradesh - 501786","93/43, Mall Circle, Above Shop, Varanasi, Uttar Pradesh - 501786",0
"H.No. 208, Mammen Zila, Near Park, Raipur, Chhattisgarh - 721528","H.No. 208, Mammen Zila, Near Park, Raipur, Chhattisgarh - 721528",0
"H.No. 652, Palan Circle, Opposite Mall, Bhubaneswar, Odisha - 891556","H.No. 652, Palan Circle, Opposite Mall, Bhubaneswar, Odisha - 891556",0
"24, Goyal Chowk, Behind School, Vijayawada, Andhra Pradesh - 830387","24, Goyal Chowk, Vijayawada, Andhra",1
"H.No. 93, Ramanathan Zila, Behind School, Hyderabad, Telangana - 563948","H.No. 93, Ramanathan Zila, Behind School, Hyderabad, Telangana - 563948",0
"60, Grewal, Near Park, Jamshedpur, Jharkhand - 656877","60, Grewal, Near Park, Jamshedpur, Jharkhand - 656877",0
"47/899, Anne Marg, Above Shop, Mumbai, Maharashtra - 336158","Marg, Above Mumbai, Maharashtra 336158",1
"H.No. 268, Gara Path, Behind School, Ahmedabad, Gujarat - 019204","H.No. 268, Gara Path, Behind School, Ahmedabad, Gujarat - 019204",0
"01/70, Apte Street, Near Park, Ahmedabad, Gujarat - 643250","Apte Near Park, Gujarat -",1
"H.No. 916, Choudhry, Behind School, Vizag, Andhra Pradesh - 443866","H.No. 916, Choudhry, Behind School, Vizag, Andhra Pradesh - 443866",0
"H.No. 642 Dash Circle, Near Park, Chandigarh, Chandigarh - 973639","H.No. 642 Dash Circle, Near Park, Chandigarh, Chandigarh - 973639",0
"H.No. 087, Subramaniam Chowk, Near Park, Jamshedpur, Jharkhand - 789276","H.No. 087, Subramaniam Chowk, Near Park, Jamshedpur, Jharkhand - 789276",0
"95/369 Buch Ganj, Above Shop, Kochi, Kerala - 149445","95/369 Buch Ganj, Above Shop, Kochi, Kerala - 149445",0
"H.No. 100, Lata Chowk, Opposite Mall, Nagpur, Maharashtra - 323861","H.No. 100, Lata Chowk, Opposite Mall, Nagpur, Maharashtra - 323861",0
"425, Bains Chowk, Above Shop, Bhubaneswar, Odisha - 619655","425, Bains Chowk, Above Shop, Bhubaneswar, Odisha - 619655",0
"42 Chowdhury Marg, Above Shop, Srinagar, Jammu & Kashmir - 933011","42 Chowdhury Marg, Above Shop, Srinagar, Jammu & Kashmir - 933011",0
"H.No. 550, Narain Nagar, Behind School, Raipur, Chhattisgarh - 151354","H.No. 550, Narain Nagar, Behind School, Raipur, Chhattisgarh - 151354",0
"919, Loyal, Opposite Mall, Indore, Madhya Pradesh - 542449","919, Loyal, Opposite Mall, Indore, Madhya Pradesh - 542449",0
"87/71 Bhalla Circle, Near Park, Patna, Bihar - 422651","87/71 Bhalla Circle, Near Park, Patna, Bihar - 422651",0
"67/58, Baral Marg, Behind School, Nagpur, Maharashtra - 611975","Baral Marg, Behind Maharashtra 611975",1
"619 Bava Zila, Opposite Mall, Surat, Gujarat - 328898","619 Bava Zila, Opposite Mall, Surat, Gujarat - 328898",0
"22/50, Ratta Path, Above Shop, Nagpur, Maharashtra - 942796","22/50, Ratta Path, Nagpur, 942796",1
"44/07 Shanker Nagar, Opposite Mall, Shimla, Himachal Pradesh - 834488","44/07 Shanker Nagar, Opposite Mall, Shimla, Himachal Pradesh - 834488",0
"41/896 Shetty Ganj, Above Shop, Kolkata, West Bengal - 057341","41/896 Shetty Ganj, Above Shop, Kolkata, West Bengal - 057341",0
"66/19 Prabhu Marg, Opposite Mall, Nagpur, Maharashtra - 454387","66/19 Prabhu Marg, Opposite Mall, Nagpur, Maharashtra - 454387",0
"20/67 Sachdeva Path, Behind School, Meerut, Uttar Pradesh - 649333","Sachdeva Behind Meerut, Pradesh 649333",1
"16/317, Jha Circle, Behind School, Aurangabad, Maharashtra - 589708","16/317, Jha Circle, Behind School, Aurangabad, Maharashtra - 589708",0
"H.No. 11 Chand, Opposite Mall, Lucknow, Uttar Pradesh - 768872","H.No. 11 Chand, Opposite Mall, Lucknow, Uttar Pradesh - 768872",0
"90 Chowdhury, Near Park, Surat, Gujarat - 497495","90 Chowdhury, Near Park, Surat, Gujarat - 497495",0
"H.No. 50, Yohannan Chowk, Behind School, Patna, Bihar - 862220","H.No. 50, Yohannan Chowk, Behind School, Patna, Bihar - 862220",0
"01 Bahl, Near Park, Nagpur, Maharashtra - 490307","01 Bahl, Near Park, Nagpur, Maharashtra - 490307",0
"51/958, Sidhu Ganj, Above Shop, Chennai, Tamil Nadu - 121057","51/958, Sidhu Ganj, Above Shop, Chennai, Tamil Nadu - 121057",0
