complete_address,address,label,building,house_details,locality,pincode,city,state
"62, Guha Zila, Opposite Mall, Pune, Maharashtra - 515733","62, Guha Zila, Opposite Mall, Pune, Maharashtra - 515733",0,,62,Guha Zilla,411533,Pune,Maharashtra
"41/935 Sha Path, Opposite Mall, Ahmedabad, Gujarat - 783648","41/935 Opposite Mall, Ahmedabad, 783648",1,,41/935,,382648,Ahmedabad,
"26/36 Soman Marg, Behind School, Hyderabad, Telangana - 999606","26/36 Soman Marg, Behind School, Hyderabad, Telangana - 999606",0,,26/36,,500006,Hyderabad,Telangana
"525, Khalsa Nagar, Behind School, Varanasi, Uttar Pradesh - 512489","525, Khalsa Nagar, Behind School, Varanasi, Uttar Pradesh - 512489",0,,525,Khalsa Nagar,201489,Varanasi,Uttar Pradesh
"H.No. 51 Srinivas Path, Behind School, Hyderabad, Telangana - 010509","H.No. 51 Srinivas Path, Behind School, Hyderabad, Telangana - 010509",0,,H.No. 51,,500095,Hyderabad,Telangana
"H.No. 20, Basak Ganj, Near Park, Coimbatore, Tamil Nadu - 757617","H.No. 20, Basak Ganj, Near Park, Coimbatore, Tamil Nadu - 757617",0,,H.No. 20,Basak Ganj,757617,Coimbatore,Tamil Nadu
"H.No. 61, Ghosh, Near Park, Jamshedpur, Jharkhand - 602321","H.No. 61, Ghosh, Near Park, Jamshedpur, Jharkhand - 602321",0,,H.No. 61,Jamshedpur,201321,Jharkhand,
"96/271, Jain Path, Near Park, Varanasi, Uttar Pradesh - 759851","96/271, Jain Path, Near Park,",1,,96/271,Park,400072,Mumbai,
"42/07 Mann Chowk, Opposite Mall, Lucknow, Uttar Pradesh - 272395","Mann Mall, Lucknow, Pradesh -",1,Mann Mall,,,201005,Lucknow,Pradesh
"39, Badami Zila, Near Park, Chandigarh, Chandigarh - 039035","39, Badami Zila, Near Park, Chandigarh, Chandigarh - 039035",0,,39,Badami Zila,700035,Chandigarh,
"956 Sachdeva Zila, Near Park, Guwahati, Assam - 073024","956 Sachdeva Zila, Near Park, Guwahati, Assam - 073024",0,,956,Sachdeva Zila,743024,Guwahati,Assam
"79/97, Doctor Road, Opposite Mall, Jamshedpur, Jharkhand - 331231","79/97, Doctor Road, Opposite Mall, Jamshedpur, Jharkhand - 331231",0,,79/97,Jamshedpur,221311,Jharkhand,
"H.No. 908, Devi Marg, Near Park, Thiruvananthapuram, Kerala - 162554","H.No. 908, Devi Marg, Near Park, Thiruvananthapuram, Kerala - 162554",0,,H.No. 908,Thiruvananthapuram,600055,Kerala,
